size,sec
50,16
100,204
150,191
200,291
250,473
300,698
350,953
400,1348
450,1754
500,2307
550,2078
600,3594
650,4463
700,5084
750,5941
800,8189
850,10258
900,10996
950,11541
1000,15189
1050,16639
1100,38164
1150,30401
1200,34666
1250,54478
1300,63284
1350,33781
1400,43284
1450,46298
1500,54352
1550,52981
1600,71771
1650,77785
1700,81143
1750,83562
1800,102057
1850,106218
1900,112392
1950,115187
2000,141897
